01:09:12.710 [background-preinit] INFO  o.h.v.i.util.Version - [<clinit>,21] - HV000001: Hibernate Validator 6.2.3.Final
01:09:13.385 [main] INFO  c.a.n.c.r.client - [lambda$createClient$0,80] - [RpcClientFactory] create a new rpc client of fcac4987-7f02-42ed-a655-a8021b81c9e1_config-0
01:09:13.511 [main] INFO  o.r.Reflections - [scan,232] - Reflections took 66 ms to scan 1 urls, producing 3 keys and 6 values 
01:09:13.557 [main] INFO  o.r.Reflections - [scan,232] - Reflections took 21 ms to scan 1 urls, producing 4 keys and 9 values 
01:09:13.579 [main] INFO  o.r.Reflections - [scan,232] - Reflections took 20 ms to scan 1 urls, producing 3 keys and 10 values 
01:09:13.708 [main] INFO  o.r.Reflections - [scan,232] - Reflections took 127 ms to scan 214 urls, producing 0 keys and 0 values 
01:09:13.720 [main] INFO  o.r.Reflections - [scan,232] - Reflections took 11 ms to scan 1 urls, producing 1 keys and 5 values 
01:09:13.736 [main] INFO  o.r.Reflections - [scan,232] - Reflections took 15 ms to scan 1 urls, producing 1 keys and 7 values 
01:09:13.746 [main] INFO  o.r.Reflections - [scan,232] - Reflections took 8 ms to scan 1 urls, producing 2 keys and 8 values 
01:09:13.862 [main] INFO  o.r.Reflections - [scan,232] - Reflections took 114 ms to scan 214 urls, producing 0 keys and 0 values 
01:09:13.863 [main] INFO  c.a.n.c.r.client - [printIfInfoEnabled,60] - [fcac4987-7f02-42ed-a655-a8021b81c9e1_config-0] RpcClient init label, labels = {module=config, Vipserver-Tag=null, source=sdk, Amory-Tag=null, Location-Tag=null, taskId=0, AppName=unknown}
01:09:13.864 [main] INFO  c.a.n.c.r.client - [printIfInfoEnabled,60] - [fcac4987-7f02-42ed-a655-a8021b81c9e1_config-0] Register server push request handler:com.alibaba.nacos.client.config.impl.ClientWorker$ConfigRpcTransportClient$$Lambda$334/449074057
01:09:13.864 [main] INFO  c.a.n.c.r.client - [printIfInfoEnabled,60] - [fcac4987-7f02-42ed-a655-a8021b81c9e1_config-0] Register server push request handler:com.alibaba.nacos.client.config.impl.ClientWorker$ConfigRpcTransportClient$$Lambda$335/1046302571
01:09:13.865 [main] INFO  c.a.n.c.r.client - [printIfInfoEnabled,60] - [fcac4987-7f02-42ed-a655-a8021b81c9e1_config-0] Registry connection listener to current client:com.alibaba.nacos.client.config.impl.ClientWorker$ConfigRpcTransportClient$1
01:09:13.865 [main] INFO  c.a.n.c.r.client - [printIfInfoEnabled,60] - [fcac4987-7f02-42ed-a655-a8021b81c9e1_config-0] RpcClient init, ServerListFactory = com.alibaba.nacos.client.config.impl.ClientWorker$ConfigRpcTransportClient$2
01:09:13.873 [main] INFO  c.a.n.c.r.client - [printIfInfoEnabled,60] - [fcac4987-7f02-42ed-a655-a8021b81c9e1_config-0] Try to connect to server on start up, server: {serverIp = 'cool-nacos', server main port = 8848}
01:09:14.727 [main] INFO  c.a.n.c.r.client - [printIfInfoEnabled,60] - [fcac4987-7f02-42ed-a655-a8021b81c9e1_config-0] Try to connect to server on start up, server: {serverIp = 'cool-nacos', server main port = 8848}
01:09:14.733 [main] INFO  c.a.n.c.r.client - [printIfInfoEnabled,60] - [fcac4987-7f02-42ed-a655-a8021b81c9e1_config-0] Try to connect to server on start up, server: {serverIp = 'cool-nacos', server main port = 8848}
01:09:14.738 [com.alibaba.nacos.client.remote.worker] INFO  c.a.n.c.r.client - [printIfInfoEnabled,60] - [fcac4987-7f02-42ed-a655-a8021b81c9e1_config-0] Try to reconnect to a new server, server is  not appointed, will choose a random server.
01:09:14.738 [main] INFO  c.a.n.c.r.client - [printIfInfoEnabled,60] - [fcac4987-7f02-42ed-a655-a8021b81c9e1_config-0] Register server push request handler:com.alibaba.nacos.common.remote.client.RpcClient$ConnectResetRequestHandler
01:09:14.739 [main] INFO  c.a.n.c.r.client - [printIfInfoEnabled,60] - [fcac4987-7f02-42ed-a655-a8021b81c9e1_config-0] Register server push request handler:com.alibaba.nacos.common.remote.client.RpcClient$$Lambda$343/671959170
01:09:14.848 [com.alibaba.nacos.client.remote.worker] INFO  c.a.n.c.r.client - [printIfInfoEnabled,60] - [fcac4987-7f02-42ed-a655-a8021b81c9e1_config-0] Fail to connect server, after trying 1 times, last try server is {serverIp = 'cool-nacos', server main port = 8848}, error = unknown
01:09:15.056 [com.alibaba.nacos.client.remote.worker] INFO  c.a.n.c.r.client - [printIfInfoEnabled,60] - [fcac4987-7f02-42ed-a655-a8021b81c9e1_config-0] Fail to connect server, after trying 2 times, last try server is {serverIp = 'cool-nacos', server main port = 8848}, error = unknown
01:09:15.367 [com.alibaba.nacos.client.remote.worker] INFO  c.a.n.c.r.client - [printIfInfoEnabled,60] - [fcac4987-7f02-42ed-a655-a8021b81c9e1_config-0] Fail to connect server, after trying 3 times, last try server is {serverIp = 'cool-nacos', server main port = 8848}, error = unknown
01:09:15.778 [com.alibaba.nacos.client.remote.worker] INFO  c.a.n.c.r.client - [printIfInfoEnabled,60] - [fcac4987-7f02-42ed-a655-a8021b81c9e1_config-0] Fail to connect server, after trying 4 times, last try server is {serverIp = 'cool-nacos', server main port = 8848}, error = unknown
01:09:16.284 [com.alibaba.nacos.client.remote.worker] INFO  c.a.n.c.r.client - [printIfInfoEnabled,60] - [fcac4987-7f02-42ed-a655-a8021b81c9e1_config-0] Fail to connect server, after trying 5 times, last try server is {serverIp = 'cool-nacos', server main port = 8848}, error = unknown
01:09:16.429 [main] INFO  c.s.g.GatewayApplication - [logStartupProfileInfo,646] - The following 1 profile is active: "dev"
01:09:16.899 [com.alibaba.nacos.client.remote.worker] INFO  c.a.n.c.r.client - [printIfInfoEnabled,60] - [fcac4987-7f02-42ed-a655-a8021b81c9e1_config-0] Fail to connect server, after trying 6 times, last try server is {serverIp = 'cool-nacos', server main port = 8848}, error = unknown
01:09:17.604 [com.alibaba.nacos.client.remote.worker] INFO  c.a.n.c.r.client - [printIfInfoEnabled,60] - [fcac4987-7f02-42ed-a655-a8021b81c9e1_config-0] Fail to connect server, after trying 7 times, last try server is {serverIp = 'cool-nacos', server main port = 8848}, error = unknown
01:09:18.419 [com.alibaba.nacos.client.remote.worker] INFO  c.a.n.c.r.client - [printIfInfoEnabled,60] - [fcac4987-7f02-42ed-a655-a8021b81c9e1_config-0] Fail to connect server, after trying 8 times, last try server is {serverIp = 'cool-nacos', server main port = 8848}, error = unknown
01:09:19.335 [com.alibaba.nacos.client.remote.worker] INFO  c.a.n.c.r.client - [printIfInfoEnabled,60] - [fcac4987-7f02-42ed-a655-a8021b81c9e1_config-0] Fail to connect server, after trying 9 times, last try server is {serverIp = 'cool-nacos', server main port = 8848}, error = unknown
