01:09:57.827 [background-preinit] INFO  o.h.v.i.util.Version - [<clinit>,21] - HV000001: Hibernate Validator 6.2.3.Final
01:09:58.332 [main] INFO  c.a.n.c.r.client - [lambda$createClient$0,80] - [RpcClientFactory] create a new rpc client of 2abc2ecc-7e2b-4410-acd9-a00861b64322_config-0
01:09:58.375 [main] INFO  o.r.Reflections - [scan,232] - Reflections took 29 ms to scan 1 urls, producing 3 keys and 6 values 
01:09:58.398 [main] INFO  o.r.Reflections - [scan,232] - Reflections took 11 ms to scan 1 urls, producing 4 keys and 9 values 
01:09:58.409 [main] INFO  o.r.Reflections - [scan,232] - Reflections took 10 ms to scan 1 urls, producing 3 keys and 10 values 
01:09:58.565 [main] INFO  o.r.Reflections - [scan,232] - Reflections took 152 ms to scan 258 urls, producing 0 keys and 0 values 
01:09:58.573 [main] INFO  o.r.Reflections - [scan,232] - Reflections took 8 ms to scan 1 urls, producing 1 keys and 5 values 
01:09:58.586 [main] INFO  o.r.Reflections - [scan,232] - Reflections took 11 ms to scan 1 urls, producing 1 keys and 7 values 
01:09:58.596 [main] INFO  o.r.Reflections - [scan,232] - Reflections took 8 ms to scan 1 urls, producing 2 keys and 8 values 
01:09:58.778 [main] INFO  o.r.Reflections - [scan,232] - Reflections took 180 ms to scan 258 urls, producing 0 keys and 0 values 
01:09:58.782 [main] INFO  c.a.n.c.r.client - [printIfInfoEnabled,60] - [2abc2ecc-7e2b-4410-acd9-a00861b64322_config-0] RpcClient init label, labels = {module=config, Vipserver-Tag=null, source=sdk, Amory-Tag=null, Location-Tag=null, taskId=0, AppName=unknown}
01:09:58.782 [main] INFO  c.a.n.c.r.client - [printIfInfoEnabled,60] - [2abc2ecc-7e2b-4410-acd9-a00861b64322_config-0] Register server push request handler:com.alibaba.nacos.client.config.impl.ClientWorker$ConfigRpcTransportClient$$Lambda$332/1566269351
01:09:58.783 [main] INFO  c.a.n.c.r.client - [printIfInfoEnabled,60] - [2abc2ecc-7e2b-4410-acd9-a00861b64322_config-0] Register server push request handler:com.alibaba.nacos.client.config.impl.ClientWorker$ConfigRpcTransportClient$$Lambda$333/44249014
01:09:58.783 [main] INFO  c.a.n.c.r.client - [printIfInfoEnabled,60] - [2abc2ecc-7e2b-4410-acd9-a00861b64322_config-0] Registry connection listener to current client:com.alibaba.nacos.client.config.impl.ClientWorker$ConfigRpcTransportClient$1
01:09:58.784 [main] INFO  c.a.n.c.r.client - [printIfInfoEnabled,60] - [2abc2ecc-7e2b-4410-acd9-a00861b64322_config-0] RpcClient init, ServerListFactory = com.alibaba.nacos.client.config.impl.ClientWorker$ConfigRpcTransportClient$2
01:09:58.789 [main] INFO  c.a.n.c.r.client - [printIfInfoEnabled,60] - [2abc2ecc-7e2b-4410-acd9-a00861b64322_config-0] Try to connect to server on start up, server: {serverIp = 'localhost', server main port = 8848}
01:09:59.254 [main] INFO  c.a.n.c.r.client - [printIfInfoEnabled,60] - [2abc2ecc-7e2b-4410-acd9-a00861b64322_config-0] Try to connect to server on start up, server: {serverIp = 'localhost', server main port = 8848}
01:09:59.258 [main] INFO  c.a.n.c.r.client - [printIfInfoEnabled,60] - [2abc2ecc-7e2b-4410-acd9-a00861b64322_config-0] Try to connect to server on start up, server: {serverIp = 'localhost', server main port = 8848}
01:09:59.262 [com.alibaba.nacos.client.remote.worker] INFO  c.a.n.c.r.client - [printIfInfoEnabled,60] - [2abc2ecc-7e2b-4410-acd9-a00861b64322_config-0] Try to reconnect to a new server, server is  not appointed, will choose a random server.
01:09:59.262 [main] INFO  c.a.n.c.r.client - [printIfInfoEnabled,60] - [2abc2ecc-7e2b-4410-acd9-a00861b64322_config-0] Register server push request handler:com.alibaba.nacos.common.remote.client.RpcClient$ConnectResetRequestHandler
01:09:59.262 [main] INFO  c.a.n.c.r.client - [printIfInfoEnabled,60] - [2abc2ecc-7e2b-4410-acd9-a00861b64322_config-0] Register server push request handler:com.alibaba.nacos.common.remote.client.RpcClient$$Lambda$342/59257066
01:09:59.373 [com.alibaba.nacos.client.remote.worker] INFO  c.a.n.c.r.client - [printIfInfoEnabled,60] - [2abc2ecc-7e2b-4410-acd9-a00861b64322_config-0] Fail to connect server, after trying 1 times, last try server is {serverIp = 'localhost', server main port = 8848}, error = unknown
01:09:59.579 [com.alibaba.nacos.client.remote.worker] INFO  c.a.n.c.r.client - [printIfInfoEnabled,60] - [2abc2ecc-7e2b-4410-acd9-a00861b64322_config-0] Fail to connect server, after trying 2 times, last try server is {serverIp = 'localhost', server main port = 8848}, error = unknown
01:09:59.888 [com.alibaba.nacos.client.remote.worker] INFO  c.a.n.c.r.client - [printIfInfoEnabled,60] - [2abc2ecc-7e2b-4410-acd9-a00861b64322_config-0] Fail to connect server, after trying 3 times, last try server is {serverIp = 'localhost', server main port = 8848}, error = unknown
01:10:00.300 [com.alibaba.nacos.client.remote.worker] INFO  c.a.n.c.r.client - [printIfInfoEnabled,60] - [2abc2ecc-7e2b-4410-acd9-a00861b64322_config-0] Fail to connect server, after trying 4 times, last try server is {serverIp = 'localhost', server main port = 8848}, error = unknown
01:10:00.809 [com.alibaba.nacos.client.remote.worker] INFO  c.a.n.c.r.client - [printIfInfoEnabled,60] - [2abc2ecc-7e2b-4410-acd9-a00861b64322_config-0] Fail to connect server, after trying 5 times, last try server is {serverIp = 'localhost', server main port = 8848}, error = unknown
01:10:01.232 [main] INFO  c.s.j.JobApplication - [logStartupProfileInfo,646] - The following 1 profile is active: "dev"
01:10:01.418 [com.alibaba.nacos.client.remote.worker] INFO  c.a.n.c.r.client - [printIfInfoEnabled,60] - [2abc2ecc-7e2b-4410-acd9-a00861b64322_config-0] Fail to connect server, after trying 6 times, last try server is {serverIp = 'localhost', server main port = 8848}, error = unknown
01:10:02.128 [com.alibaba.nacos.client.remote.worker] INFO  c.a.n.c.r.client - [printIfInfoEnabled,60] - [2abc2ecc-7e2b-4410-acd9-a00861b64322_config-0] Fail to connect server, after trying 7 times, last try server is {serverIp = 'localhost', server main port = 8848}, error = unknown
01:10:02.933 [com.alibaba.nacos.client.remote.worker] INFO  c.a.n.c.r.client - [printIfInfoEnabled,60] - [2abc2ecc-7e2b-4410-acd9-a00861b64322_config-0] Fail to connect server, after trying 8 times, last try server is {serverIp = 'localhost', server main port = 8848}, error = unknown
01:10:03.426 [main] INFO  i.s.s.b.a.SeataAutoConfiguration - [globalTransactionScanner,53] - Automatically configure Seata
01:10:03.430 [main] INFO  i.s.c.FileConfiguration - [<init>,108] - The file name of the operation is registry
01:10:03.500 [main] INFO  i.s.c.ConfigurationFactory - [load,69] - load Configuration:FileConfiguration$$EnhancerByCGLIB$$862af1eb
01:10:03.510 [main] INFO  i.s.c.FileConfiguration - [<init>,108] - The file name of the operation is file.conf
01:10:03.511 [main] INFO  i.s.c.ConfigurationFactory - [buildConfiguration,121] - load Configuration:FileConfiguration$$EnhancerByCGLIB$$862af1eb
01:10:03.582 [main] INFO  i.s.s.a.GlobalTransactionScanner - [initClient,189] - Initializing Global Transaction Clients ... 
01:10:03.673 [main] INFO  i.s.c.r.n.NettyClientBootstrap - [start,147] - NettyClientBootstrap has started
01:10:03.673 [main] INFO  i.s.s.a.GlobalTransactionScanner - [initClient,197] - Transaction Manager Client is initialized. applicationId[cool-job] txServiceGroup[cool-job-seata-service-group]
01:10:03.686 [main] INFO  i.s.r.d.AsyncWorker - [<init>,71] - Async Commit Buffer Limit: 10000
01:10:03.687 [main] INFO  i.s.r.d.x.ResourceManagerXA - [init,40] - ResourceManagerXA init ...
01:10:03.694 [main] INFO  i.s.c.r.n.NettyClientBootstrap - [start,147] - NettyClientBootstrap has started
01:10:03.694 [main] INFO  i.s.s.a.GlobalTransactionScanner - [initClient,202] - Resource Manager is initialized. applicationId[cool-job] txServiceGroup[cool-job-seata-service-group]
01:10:03.694 [main] INFO  i.s.s.a.GlobalTransactionScanner - [initClient,206] - Global Transaction Clients are initialized. 
01:10:03.839 [com.alibaba.nacos.client.remote.worker] INFO  c.a.n.c.r.client - [printIfInfoEnabled,60] - [2abc2ecc-7e2b-4410-acd9-a00861b64322_config-0] Fail to connect server, after trying 9 times, last try server is {serverIp = 'localhost', server main port = 8848}, error = unknown
